Artiste,Titre,Genre,Duree,Voix
A Classic Education,NightOwl,Rock,171,Homme
ANiMAL,Clinic A,Alternative,238,Homme
ANiMAL,Easy Tiger,Alternative,205,Homme
ANiMAL,Rockshow,Alternative,165,Homme
Actions,Devil's Words,Rock,196,Femme
Actions,One Minute Smile,Rock,163,Femme
Actions,South Of The Water,Rock,176,Femme
Aimee Norwich,Child,Rock,189,Femme
Alexander Ross,Goodbye Bolero,Pop,418,Homme
Alexander Ross,Velvet Curtain,Pop,514,Homme
Angela Thomas Wade,Milk Cow Blues,Pop,211,Femme
Atlantis Bound,It Was My Fault For Waiting,Rock,268,Femme
Auctioneer,Our Future Faces,Alternative,207,Homme
AvaLuna,Waterduct,Alternative,259,Homme
BigTroubles,Phantom,Pop,146,Femme
Bill Chudziak,Children Of No-one,Rock,240,Homme
Black Bloc,If You Want Success,Rock,398,Homme
Celestial Shore,Die For Us,Alternative,278,Mixte
Chris Durban,Celebrate,Alternative,301,Femme
Clara Berry And Wooldog,Air Traffic,Pop,173,Femme
Clara Berry And Wooldog,Stella,Pop,195,Femme
Clara Berry And Wooldog,Waltz For My Victims,Pop,175,Femme
Cnoc An Tursa,Bannockburn,Heavy metal,296,Homme
Creepoid,OldTree,Alternative,302,Homme
Dark Ride,Burning Bridges,Rock,232,Homme
Dreamers Of The Ghetto,Heavy Love,Alternative,294,Homme
Drumtracks,Ghost Bitch,Alternative,357,Homme
Faces On Film,Waiting For Ga,Pop,257,Homme
Fergessen,Back From The Start,Rock,168,Mixte
Fergessen,Nos Palpitants,Pop,198,Mixte
Fergessen,The Wind,Pop,192,Mixte
Flags,54,Rock,315,Mixte
Giselle,Moss,Alternative,201,Femme
Grants,PunchDrunk,Hip-hop,204,Homme
Helado Negro,Mitad Del Mundo,Alternative,181,Homme
Hezekiah Jones,Borrowed Heart,Pop,241,Homme
Hollow Ground,Left Blind,Heavy metal,159,Homme
Hop Along,Sister Cities,Rock,283,Femme
Invisible Familiars,Disturbing Wildlife,Alternative,218,Homme
James May,All Souls Moon,Country,221,Homme
James May,Dont Let Go,Country,241,Homme
James May,If You Say,Country,258,Homme
James May,On The Line,Country,256,Homme
Jay Menon,Through My Eyes,Country,253,Homme
Johnny Lokke,Promises & Lies,Rock,286,Homme
Johnny Lokke,Whisper To A Scream,Rock,255,Homme
Jokers Jacks & Kings,Sea Of Leaves,Rock,191,Homme
Leaf,Come Around,Alternative,264,Femme
Leaf,Summerghost,Alternative,360,Femme
Leaf,Wicked,Pop,190,Femme
Lushlife,Toynbee Suite,Hip-hop,628,Homme
Matthew Entwistle,Dont You Ever,Pop,114,Homme
Meaxic,Take A Step,Pop,282,Homme
Meaxic,You Listen,Rock,412,Homme
Music Delta,80s Rock,Rock,36,Homme
Music Delta,Beatles,Rock,36,Mixte
Music Delta,Britpop,Rock,36,Femme
Music Delta,Country1,Country,34,Homme
Music Delta,Country2,Country,17,Femme
Music Delta,Disco,Pop,124,Femme
Music Delta,Gospel,Country,75,Femme
Music Delta,Grunge,Rock,41,Homme
Music Delta,Hendrix,Rock,19,Homme
Music Delta,Punk,Rock,28,Homme
Music Delta,Reggae,Reggae,17,Homme
Music Delta,Rock,Rock,13,Homme
Music Delta,Rockbilly,Rock,17,Homme
Night Panther,Fire,Alternative,212,Homme
North To Alaska,All The Same,Rock,248,Homme
Patrick Talbot,A Reason To Leave,Pop,256,Homme
Patrick Talbot,Set Me Free,Pop,289,Homme
Phre The Eon,Everybody's Falling Apart,Rock,224,Homme
Port St Willow,Stay Even,Alternative,317,Homme
Remember December,C U Next Time,Rock,242,Homme
Secret Mountains,High Horse,Alternative,355,Femme
Skelpolu,Human Mistakes,Alternative,324,Homme
Skelpolu,Together Alone,Alternative,326,Homme
Snowmine,Curfews,Alternative,275,Homme
Spike Mullings,Mike's Sulking,Rock,256,Homme
St Vitus,Word Gets Around,Alternative,247,Homme
Steven Clark,Bounty,Alternative,289,Homme
Strand Of Oaks,Spacestation,Alternative,243,Homme
Sweet Lights,You Let Me Down,Rock,391,Homme
Swinging Steaks,Lost My Way,Rock,310,Homme
The Districts,Vermont,Alternative,228,Homme
The Long Wait,Back Home To Blue,Rock,260,Femme
The Scarlet Brand,Les Fleurs Du Mal,Rock,303,Homme
The So So Glos,Emergency,Rock,167,Homme
The Wrong'Uns,Rothko,Rock,202,Femme
Tim Taler,Stalker,Alternative,237,Homme
Titanium,Haunted Age,Heavy metal,248,Homme
Traffic Experiment,Once More (With Feeling),Country,435,Homme
Traffic Experiment,Sirens,Alternative,421,Mixte
Triviul,Angelsaint,Alternative,236,Homme
Triviul,Dorothy,Alternative,187,Homme
Voelund,Comfort Lives In Belief,Rock,210,Homme
Wall Of Death,Femme,Heavy metal,239,Homme
Young Griffo,Blood To Bone,Rock,254,Homme
Young Griffo,Facade,Rock,168,Homme
Young Griffo,Pennies,Rock,277,Homme
AM Contra,Heart Peripheral,Alternative,210,Femme
Al James,Schoolboy Facination,Rock,200,Homme
Angels In Amplifiers,I'm Alright,Rock,179,Homme
Arise,Run Run Run,Reggae,219,Homme
BKS,Bulldozer,Rock,337,Homme
BKS,Too Much,Rock,220,Homme
Ben Carrigan,We'll Talk About It All Tonight,Alternative,254,Homme
Bobby Nobody,Stitch Up,Rock,221,Homme
Buitraker,Revo X,Rock,275,Homme
Carlos Gonzalez,A Place For Us,Rock,250,Homme
Cristina Vane,So Easy,Pop,254,Femme
Detsky Sad,Walkie Talkie,Alternative,190,Femme
Enda Reilly,Cur An Long Ag Seol,Country,186,Homme
Forkupines,Semantics,Rock,273,Homme
Georgia Wonder,Siren,Alternative,450,Femme
Girls Under Glass,We Feel Alright,Alternative,317,Homme
Hollow Ground,Ill Fate,Heavy metal,141,Homme
James Elder & Mark M Thompson,The English Actor,Alternative,205,Homme
Juliet's Rescue,Heartbeats,Pop,267,Femme
Little Chicago's Finest,My Own,Hip-hop,281,Homme
Louis Cressy Band,Good Time,Rock,292,Homme
Lyndsey Ollard,Catching Up,Alternative,227,Femme
M.E.R.C. Music,Knockout,Hip-hop,270,Homme
Moosmusic,Big Dummy Shake,Rock,198,Homme
Motor Tapes,Shore,Rock,246,Homme
Mu,Too Bright,Rock,272,Homme
Nerve 9,Pray For The Rain,Alternative,343,Femme
PR,Happy Daze,Electro,162,Homme
PR,Oh No,Electro,76,Mixte
Punkdisco,Oral Hygiene,Alternative,221,Femme
Raft Monk,Tiring,Alternative,212,Homme
Sambasevam Shanmugam,Kaathaadi,Alternative,317,Femme
Secretariat,Borderline,Country,286,Homme
Secretariat,Over The Top,Rock,251,Homme
Side Effects Project,Sing With Me,Hip-hop,243,Homme
Signe Jakobsen,What Have You Done To Me,Rock,177,Femme
Skelpolu,Resurrection,Alternative,395,Mixte
Speak Softly,Broken Man,Alternative,253,Femme
Speak Softly,Like Horses,Alternative,312,Femme
The Doppler Shift,Atrophy,Rock,331,Homme
The Easton Ellises (Baumi),SDRNR,Alternative,234,Homme
The Easton Ellises,Falcon 69,Alternative,246,Homme
The Long Wait,Dark Horses,Rock,305,Femme
The Mountaineering Club,Mallory,Alternative,244,Homme
The Sunshine Garcia Band,For I Am The Moon,Alternative,320,Mixte
Timboz,Pony,Heavy metal,253,Homme
Tom McKenzie,Directions,Pop,175,Homme
Triviul feat. The Fiend,Widow,Alternative,235,Femme
We Fell From The Sky,Not You,Rock,207,Homme
Zeno,Signs,Alternative,234,Homme
